Source,Target,Type,Id,Label,timeset,Weight
23,1,Undirected,2,,,1
25,1,Undirected,3,,,1
1,29,Undirected,4,,,2.7804
25,3,Undirected,8,,,1
3,29,Undirected,9,,,0.4706
24,4,Undirected,10,,,1
4,30,Undirected,11,,,0.0677
27,5,Undirected,12,,,0.2909
5,31,Undirected,13,,,1.0626
5,30,Undirected,14,,,1.0626
25,6,Undirected,15,,,1
6,32,Undirected,16,,,0.7012
25,7,Undirected,17,,,1
7,38,Undirected,18,,,0.4316
25,8,Undirected,19,,,1
8,29,Undirected,20,,,0.2748
17,9,Undirected,21,,,2.6913
9,29,Undirected,22,,,1.3121
15,10,Undirected,23,,,1.6688
10,29,Undirected,24,,,0.2288
20,11,Undirected,25,,,12.5536
21,11,Undirected,26,,,0.8739
13,11,Undirected,27,,,1.6009
11,29,Undirected,28,,,4.0158
20,12,Undirected,29,,,12.5536
25,13,Undirected,32,,,1
13,29,Undirected,33,,,1.6009
13,32,Undirected,34,,,1.6009
13,41,Undirected,35,,,1.6009
13,31,Undirected,36,,,1.6009
28,14,Undirected,37,,,1
20,14,Undirected,38,,,12.5536
14,38,Undirected,39,,,0.1309
25,15,Undirected,40,,,1
15,32,Undirected,41,,,1.6688
15,29,Undirected,42,,,1.6688
15,36,Undirected,43,,,1.6688
15,35,Undirected,44,,,1.6688
15,31,Undirected,45,,,1.6688
15,39,Undirected,46,,,1.6688
15,40,Undirected,47,,,1.6688
15,30,Undirected,48,,,1.6688
25,16,Undirected,49,,,1
16,29,Undirected,50,,,0.844
23,17,Undirected,51,,,1
17,29,Undirected,52,,,2.6913
20,18,Undirected,53,,,12.5536
18,29,Undirected,54,,,0.7477
20,19,Undirected,55,,,12.5536
19,29,Undirected,56,,,0.7477
23,20,Undirected,57,,,1
25,20,Undirected,58,,,1
20,29,Undirected,60,,,12.5536
28,21,Undirected,61,,,1
21,29,Undirected,62,,,0.8739
23,22,Undirected,63,,,1
22,37,Undirected,64,,,0.826
12,38,Undirected,66,,,0.4353
24,42,Undirected,68,,,1
42,29,Undirected,69,,,1
22,17,Undirected,70,,,0.826
12,29,Undirected,71,,,0.4353
14,29,Undirected,72,,,0.1309
